Epochs, No. of Clauses, No. of Counter Example Loops, Skolem Function Vector, Result
1, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid
1, 1, 0, {1: '(~i_0)\n'}, Valid
1, 1, 0, {1: '(~i_0)\n'}, Valid
1, 1, 0, empty string, Invalid
1, 1, 1, {1: '(i_0 | ~i_0)\n'}, Valid
1, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid
1, 1, 0, empty string, Invalid
1, 1, 0, empty string, Invalid
1, 1, 0, empty string, Invalid
1, 1, 0, empty string, Invalid
-,-,-,-,-
1, 2, 2, {1: '(~i_0)\n'}, Valid
1, 2, 0, {1: '(i_0 | ~i_0)\n'}, Valid
1, 2, 0, {1: '(i_0 | ~i_0)\n'}, Valid
1, 2, 0, empty string, Invalid
1, 2, 0, {1: '(i_0 | ~i_0)\n'}, Valid
1, 2, 0, empty string, Invalid
1, 2, 0, empty string, Invalid
1, 2, 0, {1: '(i_0 | ~i_0)\n'}, Valid
1, 2, 1, {1: '(~i_0)\n'}, Valid
1, 2, 0, empty string, Invalid
-,-,-,-,-
1, 3, 0, empty string, Invalid
1, 3, 0, {1: '(~i_0)\n'}, Valid
1, 3, 0, {1: '(~i_0)\n'}, Valid
1, 3, 1, {1: '(i_0 | ~i_0)\n'}, Valid
1, 3, 2, {1: '(i_0 | ~i_0)\n'}, Valid
1, 3, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
1, 3, 0, {1: '(i_0 | ~i_0)\n'}, Valid
1, 3, 0, {1: '(~i_0)\n'}, Valid
1, 3, 4, {1: '(~i_0)\n'}, Valid
1, 3, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
-,-,-,-,-
1, 4, 3, {1: '(i_0 | ~i_0)\n'}, Valid
1, 4, 2, {1: '(i_0 | ~i_0)\n'}, Valid
1, 4, 1, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
1, 4, 0, {1: '(~i_0)\n'}, Valid
1, 4, 0, {1: '(~i_0)\n'}, Valid
1, 4, 0, empty string, Invalid
1, 4, 0, {1: '(~i_0)\n'}, Valid
1, 4, 3, {1: '(~i_0)\n'}, Valid
1, 4, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
1, 4, 1, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
-,-,-,-,-
1, 5, 0, {1: '(i_0 | ~i_0)\n'}, Valid
1, 5, 2, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
1, 5, 0, {1: '(i_0 | ~i_0)\n'}, Valid
1, 5, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
1, 5, 4, {1: '(~i_0)\n'}, Valid
1, 5, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
1, 5, 0, {1: '(~i_0)\n'}, Valid
1, 5, 2, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
1, 5, 0, {1: '(~i_0)\n'}, Valid
1, 5, 1, {1: '(~i_0)\n'}, Valid
-,-,-,-,-
1, 10, 2, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
1, 10, 3, {1: '(~i_0)\n'}, Valid
1, 10, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
1, 10, 1, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
1, 10, 1, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
1, 10, 7, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
1, 10, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
1, 10, 14, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
1, 10, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
1, 10, 0, {1: '(i_0 | ~i_0)\n'}, Valid
-,-,-,-,-
1, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
1, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
1, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
1, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
1, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
1, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
1, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
1, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
1, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
1, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
-,-,-,-,-
1, 100, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
1, 100, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
1, 100, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
1, 100, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
1, 100, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
1, 100, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
1, 100, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
1, 100, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
1, 100, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
1, 100, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
-,-,-,-,-
5, 1, 0, empty string, Invalid
5, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid
5, 1, 0, {1: '(~i_0)\n'}, Valid
5, 1, 0, empty string, Invalid
5, 1, 1, {1: '(~i_0)\n'}, Valid
5, 1, 0, empty string, Invalid
5, 1, 0, empty string, Invalid
5, 1, 0, empty string, Invalid
5, 1, 0, {1: '(~i_0)\n'}, Valid
5, 1, 0, empty string, Invalid
-,-,-,-,-
5, 2, 0, empty string, Invalid
5, 2, 0, empty string, Invalid
5, 2, 0, empty string, Invalid
