1, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.6508419513702393
1, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.6421937942504883
1, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.579707145690918
1, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.5782136917114258
1, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.5848324298858643
1, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.5813350677490234
5, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.5921776294708252
10, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.5935196876525879
100, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.7033617496490479
5, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.5969712734222412
1, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.5842247009277344
1, 1, 0, empty string, Invalid, 0.28565359115600586
1, 1, 0, empty string, Invalid, 0.2849719524383545
1, 1, 0, empty string, Invalid, 0.28256797790527344
1, 1, 0, empty string, Invalid, 0.2840149402618408
1, 1, 0, empty string, Invalid, 0.29441022872924805
1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.4514350891113281
1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.452268123626709
1, 1, 0, empty string, Invalid, 0.28490376472473145
1, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.4759335517883301
1, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.48047566413879395
1, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.4773871898651123
1, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.47510576248168945
1, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.47815704345703125
1, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.4829256534576416
1, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.4775104522705078
1, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.4943668842315674
1, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.47599124908447266
1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.45215582847595215
1, 1, 0, empty string, Invalid, 0.2876169681549072
1, 1, 0, empty string, Invalid, 0.28317952156066895
1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.4528329372406006
1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.5371708869934082
1, 1, 0, empty string, Invalid, 0.28459882736206055
1, 1, 0, empty string, Invalid, 0.2846057415008545
1, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.477431058883667
1, 1, 0, empty string, Invalid, 0.28656554222106934
1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.4535229206085205
1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.462787389755249
1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.45442628860473633
1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.4512958526611328
1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.4502909183502197
1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.4514799118041992
1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.45490336418151855
1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.45774149894714355
1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.4611830711364746
1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.4535183906555176
1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.4529602527618408
1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.4504258632659912
1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.4474060535430908
1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.4926142692565918
1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.44986963272094727
1, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.47751474380493164
1, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.4963521957397461
10, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.5257971286773682
10, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.6251087188720703
100, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 1.0748262405395508
1000, 1, 0, {1: '(~i_0)\n'}, Valid, 5.102081060409546
500, 1, 0, {1: '(~i_0)\n'}, Valid, 2.841930866241455
200, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 1.5111463069915771
300, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 1.9802560806274414
400, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 2.3954288959503174
500, 1, 0, {1: '(~i_0)\n'}, Valid, 2.8655319213867188
500, 1, 0, {1: '(~i_0)\n'}, Valid, 3.1833250522613525
500, 1, 0, empty string, Invalid, 2.347898244857788
500, 1, 0, empty string, Invalid, 1.5267627239227295
1, 1, 0, {1: '(~i_0)\n'}, Valid, 5.226099967956543
1, 1, 0, {1: '(~i_0)\n'}, Valid, 5.601221561431885
1, 1, 0, {1: '(~i_0)\n'}, Valid, 6.097882986068726
1, 1, 0, {1: '(~i_0)\n'}, Valid, 5.110720634460449
1, 1, 0, empty string, Invalid, 1.4189207553863525
1, 1, 0, empty string, Invalid, 1.3886818885803223
1, 1, 0, empty string, Invalid, 1.3823521137237549
1, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 1.7613499164581299
1, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 1.6815683841705322
10, 1, 0, {1: '(~i_0)\n'}, Valid, 14.10653829574585
5, 1, 0, {1: '(~i_0)\n'}, Valid, 6.339242219924927
5, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.6059427261352539
500, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 2.097966194152832
500, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 2.1368744373321533
1000, 1, 0, {1: '(~i_0)\n'}, Valid, 3.600480079650879
700, 1, 0, {1: '(~i_0)\n'}, Valid, 2.6922810077667236
600, 1, 0, {1: '(~i_0)\n'}, Valid, 2.4390087127685547
500, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 2.108121395111084
600, 1, 0, {1: '(~i_0)\n'}, Valid, 2.4169347286224365
600, 1, 0, empty string, Invalid, 1.9025425910949707
600, 1, 0, empty string, Invalid, 1.8683092594146729
10, 1, 0, {1: '(~i_0)\n'}, Valid, 13.722249507904053
2, 1, 0, {1: '(~i_0)\n'}, Valid, 2.8891043663024902
2, 1, 0, {1: '(~i_0)\n'}, Valid, 2.8028924465179443
2, 1, 0, {1: '(~i_0)\n'}, Valid, 2.8429884910583496
2, 1, 0, {1: '(~i_0)\n'}, Valid, 2.7656280994415283
1, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 1.7146844863891602
1, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 1.671074390411377
2, 1, 0, {1: '(~i_0)\n'}, Valid, 2.7978110313415527
2, 1, 0, {1: '(~i_0)\n'}, Valid, 2.671921968460083
2, 1, 0, empty string, Invalid, 277.0614264011383
10, 1, 0, empty string, Invalid, 204.75921440124512
1, 1, 0, empty string, Invalid, 28.706361055374146
50, 1, 0, empty string, Invalid, 144.18241953849792
50, 10, 0, empty string, Invalid, 270.2102041244507
50, 10, 0, empty string, Invalid, 263.46401262283325
1, 1, 0, empty string, Invalid, 0.4112076759338379
10, 1, 0, empty string, Invalid, 0.6404368877410889
5, 5, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.7615256309509277
5, 1, 0, empty string, Invalid, 0.5340931415557861
5, 1, 0, empty string, Invalid, 0.5265254974365234
5, 5, 0, empty string, Invalid, 0.5833034515380859
1, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.6108808517456055
1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.5825679302215576
1, 1, 0, empty string, Invalid, 0.41208839416503906
1, 1, 0, empty string, Invalid, 0.3925762176513672
1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.5521783828735352
1, 1, 0, empty string, Invalid, 0.3880798816680908
1, 1, 0, empty string, Invalid, 0.3925330638885498
1, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.5758235454559326
1, 1, 0, empty string, Invalid, 0.383242130279541
1, 10, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.6006836891174316
10, 10, 0, {1: '(~i_0)\n'}, Valid, 0.6007518768310547
10, 10, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.6421434879302979
10, 10, 0, empty string, Invalid, 0.7743752002716064
10, 10, 0, empty string, Invalid, 0.7665896415710449
10, 10, 0, empty string, Invalid, 0.8380370140075684
10, 10, 0, empty string, Invalid, 0.7925207614898682
100, 5, 0, empty string, Invalid, 1.14628267288208
100, 5, 0, empty string, Invalid, 0.8727433681488037
1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.5715408325195312
1, 1, 0, empty string, Invalid, 0.38352417945861816
1, 1, 0, empty string, Invalid, 0.39087557792663574
10, 1, 0, empty string, Invalid, 0.4210779666900635
10, 5, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.6609880924224854
10, 5, 0, {1: '(~i_0)\n'}, Valid, 0.6002728939056396
50, 5, 0, empty string, Invalid, 0.6156623363494873
50, 5, 0, empty string, Invalid, 0.5930948257446289
50, 5, 0, empty string, Invalid, 0.5948784351348877
50, 5, 0, empty string, Invalid, 0.5959758758544922
20, 5, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.7337658405303955
100, 5, 0, empty string, Invalid, 0.6604354381561279
100, 50, 0, empty string, Invalid, 0.9929628372192383
500, 5, 0, {1: '(~i_0)\n'}, Valid, 2.730897903442383
500, 5, 0, {1: '(~i_0)\n'}, Valid, 2.6935629844665527
500, 5, 0, empty string, Invalid, 2.5931501388549805
500, 5, 0, {1: '(~i_0)\n'}, Valid, 2.673184871673584
1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.5518460273742676
1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.5495731830596924
1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.5485866069793701
1, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.5791482925415039
1, 1, 0, empty string, Invalid, 0.3825259208679199
1, 1, 0, empty string, Invalid, 0.3814961910247803
1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.5502407550811768
1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.5464615821838379
1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.549461841583252
1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.5491538047790527
1, 1, 0, empty string, Invalid, 0.38001108169555664
1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.5505239963531494
1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.5448870658874512
1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.5467116832733154
1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.5481712818145752
1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.5521759986877441
1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.547950029373169
1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.5497353076934814
1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.5467984676361084
1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.5471246242523193
1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.545879602432251
1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.5457324981689453
1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.5627799034118652
1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.54931640625
1, 1, 0, empty string, Invalid, 0.38005852699279785
1, 1, 0, empty string, Invalid, 0.3798832893371582
1, 1, 0, {1: '(~i_0)\n'}, Valid, 25.030258178710938
1, 1, 0, {1: '(~i_0)\n'}, Valid, 2.187004804611206
1, 1, 0, {1: '(~i_0)\n'}, Valid, 2.161759376525879
1, 1, 0, {1: '(~i_0)\n'}, Valid, 2.1804869174957275
1, 1, 0, {1: '(~i_0)\n'}, Valid, 2.174258232116699
1, 1, 0, {1: '(~i_0)\n'}, Valid, 2.306065559387207
1, 1, 0, {1: '(~i_0)\n'}, Valid, 2.2777881622314453
1, 1, 0, {1: '(~i_0)\n'}, Valid, 2.3000831604003906
1, 1, 0, empty string, Invalid, 1.6094756126403809
1, 1, 0, {1: '(~i_0)\n'}, Valid, 2.2949492931365967
1, 1, 0, {1: '(~i_0)\n'}, Valid, 2.7025251388549805
1, 1, 0, {1: '(~i_0)\n'}, Valid, 2.7393782138824463
1, 1, 0, {1: '(~i_0)\n'}, Valid, 2.6763997077941895
1, 1, 0, {1: '(~i_0)\n'}, Valid, 2.6330838203430176
1, 1, 0, empty string, Invalid, 1.9058609008789062
1, 1, 0, empty string, Invalid, 1.875173807144165
1, 1, 0, {1: '(~i_0)\n'}, Valid, 2.4026081562042236
1, 1, 0, {1: '(~i_0)\n'}, Valid, 2.428142547607422
1, 1, 0, {1: '(~i_0)\n'}, Valid, 1.4949586391448975
1, 1, 0, {1: '(~i_0)\n'}, Valid, 1.4872171878814697
1, 1, 0, empty string, Invalid, 1.8660790920257568
1, 1, 0, empty string, Invalid, 2.0539538860321045
1, 1, 0, {1: '(~i_0)\n'}, Valid, 3.3233630657196045
1, 1, 0, {1: '(~i_0)\n'}, Valid, 3.5399248600006104
1, 1, 0, {1: '(~i_0)\n'}, Valid, 3.7463932037353516
1, 1, 0, {1: '(~i_0)\n'}, Valid, 3.8885605335235596
1, 1, 0, {1: '(~i_0)\n'}, Valid, 3.870023488998413
1, 1, 0, {1: '(~i_0)\n'}, Valid, 3.8844847679138184
1, 1, 0, {1: '(~i_0)\n'}, Valid, 4.087220668792725
