Epochs, No. of Clauses, No. of Counter Example Loops, Skolem Function Vector, Result, Time
1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.636876106262207
1, 1, 3, {1: '(~i_0)\n'}, Valid, 0.06648921966552734
1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.543950080871582
1, 1, 0, empty string, Invalid, 0.31365180015563965
1, 1, 0, empty string, Invalid, 0.36289024353027344
1, 1, 0, empty string, Invalid, 0.3684577941894531
1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.6270771026611328
1, 1, 0, empty string, Invalid, 0.3547325134277344
1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.6266255378723145
1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.6310946941375732
-,-,-,-,-
1, 2, 0, empty string, Invalid, 0.31345438957214355
1, 2, 2, {1: '(~i_0)\n'}, Valid, 0.0668478012084961
1, 2, 0, empty string, Invalid, 0.3575434684753418
1, 2, 6, {1: '(~i_0)\n'}, Valid, 0.3445467948913574
1, 2, 5, {1: '(~i_0)\n'}, Valid, 0.4793069362640381
1, 2, 0, {1: '(~i_0)\n'}, Valid, 0.6164860725402832
1, 2, 0, {1: '(~i_0)\n'}, Valid, 0.5674786567687988
1, 2, 0, empty string, Invalid, 0.3560776710510254
1, 2, 2, {1: '(~i_0)\n'}, Valid, 0.06657838821411133
1, 2, 0, empty string, Invalid, 0.3538627624511719
-,-,-,-,-
1, 3, 4, {1: '(~i_0)\n'}, Valid, 0.3947155475616455
1, 3, 3, {1: '(~i_0)\n'}, Valid, 0.207611083984375
1, 3, 10, {1: '(~i_0)\n'}, Valid, 1.307960033416748
1, 3, 1, {1: '(~i_0)\n'}, Valid, 0.0553898811340332
1, 3, 0, empty string, Invalid, 0.32967066764831543
1, 3, 0, {1: '(~i_0)\n'}, Valid, 0.642970085144043
1, 3, 0, empty string, Invalid, 0.35605502128601074
1, 3, 2, {1: '(~i_0)\n'}, Valid, 0.21576261520385742
1, 3, 2, {1: '(~i_0)\n'}, Valid, 0.21126389503479004
1, 3, 0, empty string, Invalid, 0.31959033012390137
-,-,-,-,-
1, 4, 3, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.21625614166259766
1, 4, 0, empty string, Invalid, 0.3547337055206299
1, 4, 0, empty string, Invalid, 0.36325597763061523
