Epochs, No. of Clauses, No. of Counter Example Loops, Skolem Function Vector, Result, Time
1, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.665245771408081
1, 1, 0, empty string, Invalid, 0.35633420944213867
1, 1, 0, empty string, Invalid, 0.36529994010925293
1, 1, 7, {1: '(~i_0)\n'}, Valid, 0.3387579917907715
1, 1, 0, empty string, Invalid, 0.2973155975341797
1, 1, 0, empty string, Invalid, 0.3650496006011963
1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.6411266326904297
1, 1, 0, empty string, Invalid, 0.3588111400604248
1, 1, 0, empty string, Invalid, 0.36898064613342285
1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.6258606910705566
-,-,-,-,-
1, 2, 0, empty string, Invalid, 0.3672783374786377
1, 2, 1, {1: '(i_0 | ~i_0)\n'}, Valid, 0.08796477317810059
1, 2, 0, empty string, Invalid, 0.3576688766479492
1, 2, 0, {1: '(~i_0)\n'}, Valid, 0.6267564296722412
1, 2, 4, {1: '(i_0 | ~i_0)\n'}, Valid, 0.19047260284423828
1, 2, 3, {1: '(i_0 | ~i_0)\n'}, Valid, 0.29784512519836426
1, 2, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.5685250759124756
1, 2, 3, {1: '(~i_0)\n'}, Valid, 0.5566961765289307
1, 2, 0, {1: '(~i_0)\n'}, Valid, 0.5622661113739014
1, 2, 0, empty string, Invalid, 0.3155193328857422
-,-,-,-,-
1, 3, 0, empty string, Invalid, 0.36589860916137695
1, 3, 0, empty string, Invalid, 0.36781907081604004
1, 3, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.6629531383514404
1, 3, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.5666909217834473
1, 3, 0, {1: '(~i_0)\n'}, Valid, 0.5412907600402832
1, 3, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.5920202732086182
1, 3, 0, {1: '(~i_0)\n'}, Valid, 0.5392093658447266
1, 3, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.5594887733459473
1, 3, 0, {1: '(~i_0)\n'}, Valid, 0.5436618328094482
1, 3, 1, {1: '(i_0 | ~i_0)\n'}, Valid, 0.08579683303833008
-,-,-,-,-
1, 4, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.5526869297027588
1, 4, 0, empty string, Invalid, 0.2959175109863281
1, 4, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.6831960678100586
1, 4, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.5582308769226074
1, 4, 1, {1: '(i_0 | ~i_0)\n'}, Valid, 0.06381034851074219
1, 4, 0, {1: '(~i_0)\n'}, Valid, 0.547126054763794
1, 4, 0, empty string, Invalid, 0.3158609867095947
1, 4, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.6487674713134766
1, 4, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.5749235153198242
1, 4, 0, {1: '(~i_0)\n'}, Valid, 0.528639554977417
-,-,-,-,-
1, 5, 0, empty string, Invalid, 0.29509520530700684
1, 5, 0, {1: '(~i_0)\n'}, Valid, 0.6320033073425293
1, 5, 4, {1: '(i_0 | ~i_0)\n'}, Valid, 0.3012049198150635
1, 5, 2, {1: '(~i_0)\n'}, Valid, 0.1942446231842041
1, 5, 0, empty string, Invalid, 0.31413722038269043
1, 5, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.6579389572143555
1, 5, 3, {1: '(~i_0)\n'}, Valid, 0.20687484741210938
1, 5, 1, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.08612728118896484
1, 5, 1, {1: '(~i_0)\n'}, Valid, 0.0544285774230957
1, 5, 0, empty string, Invalid, 0.3139052391052246
-,-,-,-,-
1, 10, 0, {1: '(~i_0)\n'}, Valid, 0.6295971870422363
1, 10, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.591541051864624
1, 10, 12, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 1.8503663539886475
1, 10, 1, {1: '(i_0 | ~i_0)\n'}, Valid, 0.054086923599243164
1, 10, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.5872232913970947
1, 10, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.5939621925354004
1, 10, 5, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.6523025035858154
1, 10, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.5966000556945801
1, 10, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.5691392421722412
1, 10, 6, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.7660112380981445
-,-,-,-,-
