Spec., Architecture, CNF, #Layers, Epochs, Batch Size, Learning Rate, K, No. of Inputs, No. of Outputs, No. of Counter Example Loops, Skolem Function Vector, Result, Time, Final Loss, Loss Drop, Accuracy, No. of Characters, No. of Clauses
c17.v, 1, 0, 1, 29, 1, 0.01, 3, 5, 2, 0, (i2 & i3 & ~i0) | (~i0 & ~i1) | (~i1 & ~i2); (~i0), Valid, 4.360565900802612, 1.7671034597169464, 27.540876169678434, 2.0, 71, 4
ex1.v, 1, 0, 1, 1, 1, 0.01, 50, 1, 1, 0, (i0 & ~i0) | (i0) | (~i0), Valid, 0.9388284683227539, 8.624032038827899e-16, 0.0, 1.0, 4, 1
ex2.v, 1, 0, 1, 18, 1, 0.01, 50, 2, 1, 0, (i0 & i1 & ~i0 & ~i1) | (i0 & ~i0) | (i0 & ~i1) | (i1 & ~i0 & ~i1), Valid, 2.140455961227417, 0.24700785465959527, 1.7345489840458062, 1.0, 43, 2
xnor_2_1.v, 1, 0, 1, 22, 1, 0.01, 50, 1, 1, 0, (i0 & ~i0) | (i0), Valid, 2.1965277194976807, 0.8847297908538533, 0.11527013877695458, 1.0, 2, 1
ex1.v, 1, 0, 1, 12, 1, 0.01, 1, 1, 1, 0, (one), Valid, 1.5046899318695068, 0.580345513322086, 0.5130309345010785, 1.0, 4, 1
ex2.v, 1, 0, 1, 4, 1, 0.01, 1, 2, 1, 5, (i0 & ~i1), Valid, 2.960700273513794, 0.06117656682425863, 0.03524618837365933, 1.0, 15, 1
ex1.v, 1, 0, 1, 1, 1, 0.01, 50, 1, 1, 0, (i0 & ~i0) | (i0) | (~i0), Valid, 0.9430153369903564, 4.5390989752022396e-14, 0.0, 1.0, 4, 1
ex1.v, 1, 0, 1, 1, 1, 0.01, 50, 1, 1, 0, (i0 & ~i0) | (i0) | (~i0), Valid, 0.9264910221099854, 9.934570169307971e-15, 0.0, 1.0, 4, 1
ex2.v, 1, 0, 1, 11, 1, 0.01, 50, 2, 1, 0, (i0 & i1 & ~i0) | (i0 & ~i0 & ~i1) | (i0 & ~i1) | (i1 & ~i0 & ~i1) | (~i0 & ~i1), Valid, 1.619997262954712, 1.0868438318669613, 0.8894794772526973, 1.0, 56, 2
xnor_2_1.v, 1, 0, 1, 23, 1, 0.01, 50, 1, 1, 0, (i0 & ~i0) | (i0), Valid, 2.163996696472168, 0.6342643380427808, 0.36573080625296706, 1.0, 2, 1
ex1.v, 1, 0, 1, 1, 1, 0.01, 50, 1, 1, 0, (i0 & ~i0) | (i0) | (~i0), Valid, 1.2642064094543457, 2.4947125282291105e-18, 0.0, 1.0, 4, 1
ex2.v, 1, 0, 1, 22, 1, 0.01, 50, 2, 1, 0, (i0 & i1 & ~i0) | (i1 & ~i0 & ~i1), Valid, 4.1473939418792725, 0.20019888277844833, 1.7979832679975432, 1.0, 5, 1
xnor_2_1.v, 1, 0, 1, 19, 1, 0.01, 50, 1, 1, 0, (i0 & ~i0) | (i0), Valid, 3.2843668460845947, 0.9416647189346201, 0.05833493749582175, 1.0, 2, 1
ex1.v, 1, 0, 1, 1, 1, 0.01, 50, 1, 1, 0, (i0 & ~i0) | (i0) | (~i0), Valid, 1.637404441833496, 4.2752460299823923e-13, 0.0, 1.0, 4, 1
ex2.v, 1, 0, 1, 19, 1, 0.01, 50, 2, 1, 0, (i0 & i1 & ~i0 & ~i1) | (i0 & i1 & ~i0) | (i0 & ~i0 & ~i1) | (i1 & ~i1) | (~i0 & ~i1), Valid, 5.058996677398682, 0.3108107067391982, 1.682405215491138, 1.0, 20, 1
and_2_1.v, 1, 0, 1, 43, 1, 0.01, 1, 1, 1, 0, (one), Valid, 3.3711230754852295, 0.5024230049565084, 0.49193517170006495, 1.0, 4, 1
