Spec, Architecture, CNF, #Layers, Epochs, Batch Size, Learning Rate, K, No. of Inputs, No. of Outputs, No. of Counter Example Loops, Result, BNSynth Time, Manthan Time, Final Loss, Loss Drop, Accuracy, No. of Clauses pre simplification (BNSynth), No. of Clauses post simplification (BNSynth), No. of Chars pre simplification (BNSynth), No. of Chars post simplification (BNSynth), No. Input vars in SKF (BNSynth), No. of Literals (BNSynth), No. of Clauses pre simplification (Manthan), No. of Clauses post simplification (Manthan), No. of Chars pre simplification (Manthan), No. of Chars post simplification (Manthan), No. Input vars in SKF (Manthan), No. of Literals (Manthan)
xor_2_4.v, 1, 1, 1, 17, 1, 0.01, 50, 2, 4, 0, Valid, 5.09581184387207, 1.8460302352905273, 0.451532888419936, 1.5460903524465817, 4.0, 22, 2, 715, 49, 2, 34, 15, 14, 143, 200, 2, 50
misc4_2_3.v, 1, 1, 1, 17, 1, 0.01, 50, 2, 3, 0, Valid, 1.4114420413970947, 1.8230726718902588, 0.1810250916830141, 0.8184830053433062, 3.0, 19, 2, 451, 30, 2, 27, 13, 12, 113, 169, 2, 42
xor_5_3.v, 1, 1, 1, 41, 1, 0.01, 50, 5, 3, 0, Valid, 17.075886487960815, 2.3946099281311035, 0.7498359828651819, 6.414603937392446, 3.0, 35, 21, 2214, 598, 5, 206, 561, 561, 21519, 9609, 5, 5488
xor_6_10.v, 1, 1, 1, 158, 1, 0.01, 50, 6, 10, 0, Valid, 38.25866436958313, 3.702641248703003, 0.06925415411451581, 11.428709729147448, 10.0, 176, 167, 9524, 5147, 6, 1614, 9710, 9708, 242777, 31146, 6, 124740
multiplexer_1_1.v, 1, 1, 1, 37, 1, 0.01, 50, 1, 1, 0, Valid, 2.4801523685455322, 1.7230513095855713, 0.9755923396930972, 0.02440765794780675, 1.0, 1, 0, 22, 2, 1, 0, 1, 0, 4, 4, 0, 0
xor_1_3.v, 1, 1, 1, 27, 1, 0.01, 50, 1, 3, 0, Valid, 1.9198827743530273, 1.7110657691955566, 0.724878572588643, 0.2751213316147232, 3.0, 5, 1, 87, 17, 1, 2, 3, 1, 15, 15, 1, 0
xor_4_2.v, 1, 1, 1, 19, 1, 0.01, 50, 4, 2, 0, Valid, 2.1184144020080566, 2.190713405609131, 0.24043134799559476, 4.4251259045866735, 2.0, 23, 8, 1063, 217, 4, 93, 58, 58, 1170, 1487, 4, 432
misc2_3_1.v, 1, 1, 1, 8, 1, 0.01, 50, 3, 1, 0, Valid, 0.9333834648132324, 1.857882022857666, 0.2124823350920497, 2.311240246401642, 1.0, 3, 1, 309, 7, 1, 5, 2, 2, 30, 34, 3, 8
misc1_2_1.v, 1, 1, 1, 13, 1, 0.01, 50, 2, 1, 0, Valid, 1.1710116863250732, 1.786578893661499, 0.7450252901318485, 0.25329162494392765, 1.0, 5, 3, 124, 25, 2, 8, 2, 2, 10, 10, 2, 0
xor_2_2.v, 1, 1, 1, 15, 1, 0.01, 50, 2, 2, 0, Valid, 1.38639497756958, 1.841174602508545, 0.34584943479596897, 1.6482649502629978, 2.0, 10, 2, 325, 39, 2, 18, 4, 4, 49, 28, 2, 4
xor_3_1.v, 1, 1, 1, 32, 1, 0.01, 50, 3, 1, 0, Valid, 3.361992359161377, 2.104956865310669, 0.031981113306601354, 3.6166529701226264, 1.0, 4, 4, 225, 86, 3, 24, 4, 4, 140, 86, 3, 24
xor_5_1.v, 1, 1, 1, 38, 1, 0.01, 50, 5, 1, 0, Valid, 7.064812183380127, 2.4861738681793213, 0.49007020486283426, 8.168751579882608, 1.0, 16, 16, 881, 508, 5, 160, 50, 49, 475, 1037, 5, 292
xor_3_2.v, 1, 1, 1, 16, 1, 0.01, 50, 3, 2, 0, Valid, 1.601628303527832, 1.9239001274108887, 0.5681956654299744, 3.213757170478562, 2.0, 11, 4, 779, 91, 3, 35, 8, 6, 114, 97, 3, 27
xor_2_3.v, 1, 1, 1, 17, 1, 0.01, 50, 2, 3, 0, Valid, 1.505277395248413, 1.8666489124298096, 0.2617607083615206, 1.7354800932167953, 3.0, 16, 2, 421, 44, 2, 26, 5, 4, 53, 32, 2, 4
xor_4_1.v, 1, 1, 1, 25, 1, 0.01, 50, 4, 1, 0, Valid, 3.2557075023651123, 2.2893664836883545, 0.3595783899764963, 4.26197560390598, 1.0, 8, 8, 581, 212, 4, 64, 8, 8, 370, 212, 4, 64
