Spec, Architecture, CNF, #Layers, Epochs, Batch Size, Learning Rate, K, No. of Inputs, No. of Outputs, No. of Counter Example Loops, Result, BNSynth Time, Manthan Time, Final Loss, Loss Drop, Accuracy, No. of Clauses pre simplification (BNSynth), No. of Clauses post simplification (BNSynth), No. of Chars pre simplification (BNSynth), No. of Chars post simplification (BNSynth), No. Input vars in SKF (BNSynth), No. of Literals pre simplification (BNSynth), No. of Literals post simplification (BNSynth), No. of Clauses pre simplification (Manthan), No. of Clauses post simplification (Manthan), No. of Chars pre simplification (Manthan), No. of Chars post simplification (Manthan), No. Input vars in SKF (Manthan), No. of Literals pre simplification (Manthan), No. of Literals post simplification (Manthan)
xor_2_4.v, 3, 1, 1, 15, 1, 0.01, 20, 2, 4, 0, Valid, 1.5520133972167969, 1.858699083328247, 0.08256203099327715, 0.3921725086099147, 1.0, 16, 5, 492, 49, 2, 26, 7, 15, 15, 143, 200, 2, 28, 28
misc4_2_3.v, 3, 1, 1, 29, 1, 0.01, 5, 2, 3, 0, Valid, 2.6653029918670654, 1.7849791049957275, 0.08021433841748786, 1.4772578171648736, 1.0, 6, 5, 102, 32, 2, 7, 5, 13, 13, 113, 169, 2, 24, 23
xnor-implies_6_2.v, 3, 1, 1, 103, 1, 0.01, 50, 6, 2, 0, Valid, 28.115989208221436, 2.660151720046997, 0.362774781451268, 10.080008251553124, 1.0, 56, 53, 1717, 1550, 6, 240, 231, 237, 236, 4574, 4315, 6, 749, 747
xor_5_3.v, 3, 1, 1, 32, 1, 0.01, 20, 5, 3, 0, Valid, 6.194656133651733, 2.3190934658050537, 0.10105740203080928, 7.233868480338542, 1.0, 30, 22, 1079, 585, 5, 103, 87, 548, 546, 21519, 9215, 5, 2632, 2628
xor_6_10.v, 3, 1, 1, 63, 1, 0.01, 20, 6, 10, 0, Valid, 40.08659768104553, 3.4531729221343994, 0.03743559845626668, 13.887774423531233, 1.0, 129, 123, 4771, 3794, 6, 611, 587, 9826, 9825, 242777, 33641, 6, 62465, 62462
multiplexer_1_1.v, 3, 1, 1, 1, 1, 0.01, 1, 1, 1, 0, Valid, 0.43868255615234375, 1.631075143814087, 0.009738379021970906, 0.0, 1.0, 1, 1, 4, 4, 0, 1, 1, 1, 1, 4, 4, 0, 1, 1
LUT2_5_2.v, 3, 1, 1, 13, 1, 0.01, 5, 5, 2, 0, Valid, 2.40061354637146, 1.7853953838348389, 0.06800576296775687, 7.048214564511694, 1.0, 4, 4, 132, 58, 4, 7, 7, 8, 7, 84, 118, 5, 21, 18
xor_4_2.v, 3, 1, 1, 54, 1, 0.01, 20, 4, 2, 0, Valid, 6.5345377922058105, 2.177149772644043, 0.17188448434156045, 2.6741637493879744, 1.0, 17, 9, 494, 217, 4, 45, 33, 57, 57, 1170, 1453, 4, 213, 213
xnor_7_1.v, 3, 1, 1, 201, 1, 0.01, 500, 7, 1, 0, Valid, 79.79980659484863, 2.605588674545288, 0.32436969873241284, 37.121763239241666, 1.0, 64, 64, 3168, 2724, 7, 448, 448, 88, 88, 2763, 2063, 7, 271, 271
misc2_3_1.v, 3, 1, 1, 12, 1, 0.01, 1, 3, 1, 0, Valid, 1.2988550662994385, 1.6908323764801025, 0.9292692182099098, 2.0416967705410376, 1.0, 1, 1, 7, 7, 1, 1, 1, 2, 2, 30, 34, 3, 4, 4
misc1_2_1.v, 3, 1, 1, 33, 1, 0.01, 1, 2, 1, 0, Valid, 2.5471320152282715, 1.6840689182281494, 0.24157561983297768, 0.6690245048632655, 1.0, 1, 1, 2, 2, 1, 1, 1, 2, 2, 10, 10, 2, 2, 2
xor_2_2.v, 3, 1, 1, 30, 1, 0.01, 5, 2, 2, 6, Valid, 39.754287004470825, 1.7819511890411377, 0.26642809728398753, 0.8791620084119106, 1.0, 5, 3, 82, 39, 2, 8, 5, 4, 4, 49, 28, 2, 4, 4
xor_2_3.v, 3, 1, 1, 34, 1, 0.01, 5, 2, 3, 2, Valid, 19.98817729949951, 1.7677028179168701, 0.12492019923137944, 1.2152479696590828, 1.0, 4, 4, 101, 42, 2, 6, 6, 5, 5, 53, 32, 2, 5, 5
mirror_20_20.v, 3, 1, 1, 3, 1, 0.01, 1, 20, 20, 0, Valid, 45.03777718544006, 1.7427518367767334, 0.7769828562289178, 40.81556593501148, 1.0, 20, 20, 50, 50, 20, 20, 20, 20, 20, 50, 50, 20, 20, 20
xor_5_2.v, 3, 1, 1, 134, 1, 0.01, 20, 5, 2, 0, Valid, 24.08101749420166, 2.538543701171875, 0.15919034019470876, 6.473416573473981, 1.0, 23, 17, 712, 513, 5, 92, 81, 142, 141, 2029, 3705, 5, 472, 470
misc3_2_3.v, 3, 1, 1, 17, 1, 0.01, 5, 2, 3, 1, Valid, 5.529459714889526, 1.733255386352539, 0.03990215587161589, 1.20483641636802, 1.0, 5, 5, 79, 51, 2, 7, 7, 13, 13, 101, 181, 2, 26, 26
xnor_6_2.v, 3, 1, 1, 168, 1, 0.01, 50, 6, 2, 0, Valid, 47.61222958564758, 2.5753836631774902, 0.21184751020157966, 10.561035045359274, 1.0, 37, 37, 1371, 1178, 6, 192, 192, 161, 160, 3586, 4780, 6, 596, 594
