Spec, Architecture, CNF, #Layers, Epochs, Batch Size, Learning Rate, K, No. of Inputs, No. of Outputs, No. of Counter Example Loops, Result, BNSynth Time, Manthan Time, Final Loss, Loss Drop, Accuracy, No. of Clauses pre simplification (BNSynth), No. of Clauses post simplification (BNSynth), No. of Chars pre simplification (BNSynth), No. of Chars post simplification (BNSynth), No. Input vars in SKF (BNSynth), No. of Literals (BNSynth), No. of Clauses pre simplification (Manthan), No. of Clauses post simplification (Manthan), No. of Chars pre simplification (Manthan), No. of Chars post simplification (Manthan), No. Input vars in SKF (Manthan), No. of Literals (Manthan)
xor_2_4.v, 1, 0, 1, 54, 1, 0.01, 5, 2, 4, 1, Valid, 8.83346939086914, 1.7363548278808594, 0.15182723193892106, 0.9868657826420226, 4.0, 7, 2, 66, 47, 2, 10, 15, 14, 143, 200, 2, 50
misc4_2_3.v, 1, 0, 1, 17, 1, 0.01, 1, 2, 3, 0, Valid, 1.3980576992034912, 1.7067196369171143, 0.591109094965434, 0.3612946297059204, 3.0, 5, 2, 39, 29, 2, 5, 13, 12, 113, 169, 2, 42
xnor-implies_7_1.v, 1, 0, 1, 28, 1, 0.01, 500, 7, 1, 0, Valid, 8.141326665878296, 4.176659822463989, 0.28028671292039087, 19.5750013490024, 1.0, 341, 341, 5451, 2385, 7, 3988, 88, 88, 2763, 2063, 7, 542
xor_5_3.v, 1, 0, 1, 60, 1, 0.01, 20, 5, 3, 0, Valid, 8.374756336212158, 2.4399452209472656, 0.2734527012619244, 9.135129700674561, 3.0, 133, 132, 1174, 5618, 5, 1376, 561, 561, 21519, 9609, 5, 5488
xor_6_10.v, 1, 0, 1, 154, 1, 0.01, 50, 6, 10, 0, Valid, 33.07661294937134, 5.360008239746094, 0.9334270055890398, 12.20236429437985, 10.0, 1105, 1105, 10173, 47930, 6, 12274, 9710, 9708, 242777, 31146, 6, 124740
multiplexer_1_1.v, 1, 0, 1, 45, 1, 0.01, 1, 1, 1, 0, Valid, 3.1734468936920166, 1.6354236602783203, 0.35613012445351233, 0.6207636365474736, 1.0, 1, 0, 2, 2, 1, 0, 1, 0, 4, 4, 0, 0
xor_1_3.v, 1, 0, 1, 25, 1, 0.01, 1, 1, 3, 3, Valid, 16.963916301727295, 1.6434221267700195, 0.4461146591832965, 0.23944451866552297, 3.0, 3, 1, 15, 15, 1, 0, 3, 1, 15, 15, 1, 0
xor_4_2.v, 1, 0, 1, 35, 1, 0.01, 20, 4, 2, 0, Valid, 3.5693206787109375, 2.145463705062866, 0.24844993722900033, 4.139479131068719, 2.0, 44, 43, 460, 1399, 4, 360, 58, 58, 1170, 1487, 4, 432
xnor_7_1.v, 1, 0, 1, 65, 1, 0.01, 500, 7, 1, 0, Valid, 21.359240531921387, 3.5668625831604004, 0.04997240792619791, 35.346344112133814, 1.0, 511, 511, 4677, 2409, 7, 3668, 88, 88, 2763, 2063, 7, 542
misc2_3_1.v, 1, 0, 1, 13, 1, 0.01, 1, 3, 1, 0, Valid, 1.2561376094818115, 1.661552906036377, 1.094318793172725, 1.8096256316342918, 1.0, 1, 1, 7, 7, 1, 0, 2, 2, 30, 34, 3, 8
