Spec, Architecture, CNF, #Layers, Epochs, Batch Size, Learning Rate, K, No. of Inputs, No. of Outputs, No. of Counter Example Loops, Result, BNSynth Time, Manthan Time, Final Loss, Loss Drop, Accuracy, No. of Clauses pre simplification (BNSynth), No. of Clauses post simplification (BNSynth), No. of Chars pre simplification (BNSynth), No. of Chars post simplification (BNSynth), No. Input vars in SKF (BNSynth), No. of Literals pre simplification (BNSynth), No. of Literals post simplification (BNSynth), No. of Clauses pre simplification (Manthan), No. of Clauses post simplification (Manthan), No. of Chars pre simplification (Manthan), No. of Chars post simplification (Manthan), No. Input vars in SKF (Manthan), No. of Literals pre simplification (Manthan), No. of Literals post simplification (Manthan)
xor_6_10.v, 3, 0, 1, 21, 1, 0.01, 50, 6, 10, 0, Valid, 13.142240524291992, 5.521743059158325, 0.12612731186174547, 15.18887917040772, 1.0, 1200, 1200, 11098, 40730, 6, 6524, 6524, 9826, 9825, 242777, 33641, 6, 62465, 62462
xor_2_4.v, 3, 0, 1, 24, 1, 0.01, 5, 2, 4, 0, Valid, 2.280310869216919, 1.7837541103363037, 0.17143774136926018, 0.8961384538787903, 1.0, 10, 5, 104, 48, 2, 15, 7, 7, 7, 143, 138, 2, 10, 11
misc4_2_3.v, 3, 0, 1, 14, 1, 0.01, 1, 2, 3, 0, Valid, 1.3990600109100342, 1.7059361934661865, 0.09219593476743801, 0.295294214592164, 1.0, 6, 4, 42, 29, 2, 6, 4, 5, 5, 113, 108, 2, 7, 8
xnor-implies_6_2.v, 3, 0, 1, 76, 1, 0.01, 50, 6, 2, 0, Valid, 20.19236469268799, 2.851719617843628, 0.21532448499441775, 9.960502828890673, 1.0, 45, 35, 1809, 1300, 6, 276, 198, 4, 4, 4574, 3385, 6, 7, 11
xor_5_3.v, 3, 0, 1, 35, 1, 0.01, 20, 5, 3, 0, Valid, 6.429150581359863, 2.4343559741973877, 0.040341377170867505, 5.498242939399409, 1.0, 34, 23, 1087, 632, 5, 161, 93, 6, 6, 21519, 12807, 5, 8, 11
xor_6_10.v, 3, 0, 1, 27, 1, 0.01, 50, 6, 10, 0, Valid, 16.927435398101807, 5.432845830917358, 0.02684543874656094, 17.087978561899906, 1.0, 304, 192, 10625, 5387, 6, 1605, 782, 18, 18, 242777, 221242, 6, 24, 36
multiplexer_1_1.v, 3, 0, 1, 32, 1, 0.01, 1, 1, 1, 0, Valid, 2.4171037673950195, 1.6058745384216309, 0.3067804113242137, 0.48875750898268727, 1.0, 1, 1, 2, 2, 1, 1, 1, 1, 1, 4, 4, 0, 1, 1
LUT2_5_2.v, 3, 0, 1, 14, 1, 0.01, 5, 5, 2, 0, Valid, 2.5106842517852783, 1.7598209381103516, 0.15217793154229484, 15.00442472227293, 1.0, 6, 5, 108, 98, 4, 12, 11, 3, 3, 84, 64, 5, 4, 5
xor_4_2.v, 3, 0, 1, 44, 1, 0.01, 20, 4, 2, 0, Valid, 6.386580467224121, 2.1122727394104004, 0.1951777153676177, 2.437878237364734, 1.0, 15, 9, 490, 224, 4, 73, 33, 4, 7, 1170, 798, 4, 6, 9
xnor_7_1.v, 3, 0, 1, 61, 1, 0.01, 500, 7, 1, 0, Valid, 23.59434938430786, 3.3882217407226562, 0.3179866055301977, 35.8401108986051, 1.0, 90, 64, 4274, 2787, 7, 707, 448, 2, 2, 2763, 2608, 7, 4, 5
misc2_3_1.v, 3, 0, 1, 13, 1, 0.01, 1, 3, 1, 0, Valid, 1.5151383876800537, 1.7158596515655518, 0.9626261675828621, 1.7385190057025537, 1.0, 1, 1, 7, 7, 1, 1, 1, 2, 2, 30, 25, 3, 3, 4
misc1_2_1.v, 3, 0, 1, 25, 1, 0.01, 1, 2, 1, 0, Valid, 2.540045738220215, 1.6835455894470215, 0.35421845191917845, 0.576210690878102, 1.0, 2, 2, 10, 10, 2, 2, 2, 2, 2, 10, 10, 2, 2, 2
xor_2_3.v, 3, 0, 1, 44, 1, 0.01, 5, 2, 3, 4, Valid, 23.52652072906494, 1.7394003868103027, 0.05015513054897841, 1.0489424399234577, 1.0, 4, 4, 43, 43, 2, 6, 6, 5, 5, 53, 53, 2, 7, 7
