Spec, Architecture, CNF, #Layers, Epochs, Batch Size, Learning Rate, K, No. of Inputs, No. of Outputs, No. of Counter Example Loops, Result, BNSynth Time, Manthan Time, Final Loss, Loss Drop, Accuracy, No. of Clauses pre simplification (BNSynth), No. of Clauses post simplification (BNSynth), No. of Chars pre simplification (BNSynth), No. of Chars post simplification (BNSynth), No. Input vars in SKF (BNSynth), No. of Literals (BNSynth), No. of Clauses pre simplification (Manthan), No. of Clauses post simplification (Manthan), No. of Chars pre simplification (Manthan), No. of Chars post simplification (Manthan), No. Input vars in SKF (Manthan), No. of Literals (Manthan)
xor_2_4.v, 1, 1, 1, 31, 1, 0.01, 20, 2, 4, 0, Valid, 2.639347791671753, 1.8484828472137451, 0.1016095290079265, 1.6970505801588518, 4.0, 15, 2, 464, 49, 2, 22, 15, 14, 143, 200, 2, 50
misc4_2_3.v, 1, 1, 1, 29, 1, 0.01, 5, 2, 3, 1, Valid, 8.270848751068115, 1.7729954719543457, 0.3560778455853562, 0.6862813850415583, 3.0, 6, 3, 64, 32, 2, 8, 13, 12, 113, 169, 2, 42
xnor-implies_7_1.v, 1, 1, 1, 127, 1, 0.01, 50, 7, 1, 0, Valid, 33.46926498413086, 2.5309195518493652, 0.35858769336917373, 20.89230546540979, 1.0, 32, 32, 1543, 1284, 7, 448, 88, 88, 2763, 2063, 7, 542
xor_5_3.v, 1, 1, 1, 69, 1, 0.01, 20, 5, 3, 0, Valid, 9.250943899154663, 2.219810962677002, 0.4132471399259612, 5.096874566409047, 3.0, 32, 22, 1070, 630, 5, 205, 561, 561, 21519, 9609, 5, 5488
xor_6_10.v, 1, 1, 1, 192, 1, 0.01, 50, 6, 10, 0, Valid, 41.907862186431885, 3.763451099395752, 0.6517518617720005, 9.501023482579699, 10.0, 168, 154, 9356, 4825, 6, 1544, 9710, 9708, 242777, 31146, 6, 124740
multiplexer_1_1.v, 1, 1, 1, 49, 1, 0.01, 1, 1, 1, 0, Valid, 3.728086471557617, 1.6447455883026123, 0.08853367078346738, 0.660762983069025, 1.0, 1, 0, 4, 4, 0, 0, 1, 0, 4, 4, 0, 0
xor_1_3.v, 1, 1, 1, 68, 1, 0.01, 1, 1, 3, 0, Valid, 5.31373405456543, 1.6371748447418213, 0.5098286630470916, 0.43695481585671914, 3.0, 3, 1, 15, 15, 1, 0, 3, 1, 15, 15, 1, 0
xor_4_2.v, 1, 1, 1, 53, 1, 0.01, 20, 4, 2, 0, Valid, 5.240189075469971, 2.087467908859253, 0.2950176180796256, 3.9792222446407437, 2.0, 19, 8, 496, 217, 4, 89, 58, 58, 1170, 1487, 4, 432
xnor_7_1.v, 1, 1, 1, 96, 1, 0.01, 500, 7, 1, 0, Valid, 33.71003699302673, 2.720975399017334, 0.031152043718568594, 35.328609732646115, 1.0, 64, 64, 4219, 2724, 7, 896, 88, 88, 2763, 2063, 7, 542
misc2_3_1.v, 1, 1, 1, 15, 1, 0.01, 1, 3, 1, 0, Valid, 1.3791563510894775, 1.6640691757202148, 1.17424385491171, 1.7018596502142591, 1.0, 1, 1, 7, 7, 1, 0, 2, 2, 30, 34, 3, 8
misc1_2_1.v, 1, 1, 1, 23, 1, 0.01, 1, 2, 1, 0, Valid, 1.9081103801727295, 1.6919302940368652, 0.29432422681486636, 0.3968338900032222, 1.0, 2, 2, 14, 14, 2, 2, 2, 2, 10, 10, 2, 0
xor_2_2.v, 1, 1, 1, 41, 1, 0.01, 5, 2, 2, 3, Valid, 20.923505783081055, 1.7536225318908691, 0.284738533184955, 0.9317112214013372, 2.0, 6, 2, 72, 39, 2, 11, 4, 4, 49, 28, 2, 4
xor_8_8.v, 1, 1, 1, 143, 1, 0.01, 1000, 8, 8, 3, Valid, 516.7088785171509, 10.527837038040161, 0.00027531219299671724, 60.62063882374745, 8.0, 799, 782, 61832, 32999, 8, 11155, 1522, 1519, 54436, 16878, 8, 13668
xor_3_1.v, 1, 1, 1, 96, 1, 0.01, 5, 3, 1, 0, Valid, 9.759996175765991, 1.9528746604919434, 0.3289031007518096, 3.1132353933725, 1.0, 4, 4, 109, 86, 3, 24, 4, 4, 140, 86, 3, 24
xor_5_1.v, 1, 1, 1, 69, 1, 0.01, 20, 5, 1, 0, Valid, 9.750381708145142, 2.3582441806793213, 0.14582766408009643, 9.354093988928096, 1.0, 16, 16, 534, 508, 5, 160, 50, 49, 475, 1037, 5, 292
xor_3_2.v, 1, 1, 1, 15, 1, 0.01, 20, 3, 2, 2, Valid, 11.69926381111145, 1.8241500854492188, 0.6166136099216105, 1.4232999721652844, 2.0, 9, 4, 223, 91, 3, 30, 8, 6, 114, 97, 3, 27
xor_2_3.v, 1, 1, 1, 43, 1, 0.01, 5, 2, 3, 2, Valid, 20.055328607559204, 1.74904203414917, 0.32119426220424924, 0.7139205653308369, 3.0, 4, 2, 83, 42, 2, 8, 5, 4, 53, 32, 2, 4
xor_4_1.v, 1, 1, 1, 36, 1, 0.01, 20, 4, 1, 0, Valid, 5.24566912651062, 2.1522324085235596, 0.5976822286567486, 3.768787234491061, 1.0, 8, 8, 275, 212, 4, 64, 8, 8, 370, 212, 4, 64
mirror_20_20.v, 1, 1, 1, 40, 1, 0.01, 5, 20, 20, 0, Valid, 82.17178130149841, 2.0975685119628906, 9.151316964044908e-06, 34.82004178177567, 20.0, 34, 0, 989, 50, 20, 43, 20, 0, 50, 50, 20, 0
misc5_6_1.v, 1, 1, 1, 240, 1, 0.01, 5, 6, 1, 0, Valid, 59.10183596611023, 2.0082833766937256, 0.1722229379541977, 15.7546698415347, 1.0, 5, 5, 158, 158, 6, 42, 13, 13, 313, 320, 6, 82
xor_5_2.v, 1, 1, 1, 72, 1, 0.01, 20, 5, 2, 0, Valid, 12.30750560760498, 2.330263376235962, 0.08113792863066452, 8.803228822837468, 2.0, 26, 16, 785, 513, 5, 181, 144, 143, 2029, 3811, 5, 970
misc3_2_3.v, 1, 1, 1, 27, 1, 0.01, 5, 2, 3, 1, Valid, 8.191624164581299, 1.8066320419311523, 0.5270370347543826, 1.0229282919593712, 3.0, 5, 1, 145, 14, 1, 3, 13, 12, 101, 181, 2, 48
xor_1_2.v, 1, 1, 1, 12, 1, 0.01, 5, 1, 2, 1, Valid, 7.955535650253296, 1.726879596710205, 0.16039290369935957, 0.33153499561167277, 2.0, 3, 1, 57, 12, 1, 1, 2, 0, 6, 6, 1, 0
xnor_6_2.v, 1, 1, 1, 165, 1, 0.01, 50, 6, 2, 0, Valid, 37.78058934211731, 2.7333900928497314, 0.027638252219063658, 17.315295143989804, 2.0, 61, 58, 2172, 1587, 6, 528, 162, 161, 3586, 4859, 6, 1194
xor_3_3.v, 1, 1, 1, 77, 1, 0.01, 5, 3, 3, 1, Valid, 14.820553064346313, 1.7788357734680176, 0.6048049438846044, 1.8980993321324893, 3.0, 11, 4, 162, 96, 3, 32, 85, 85, 907, 2102, 3, 562
xor_6_26.v, 1, 1, 1, 229, 1, 0.01, 500, 6, 26, 0, Valid, 47.7537636756897, 12.482026100158691, 0.12213521678930073, 22.02610252757681, 26.0, 644, 532, 140030, 18057, 6, 6212, 90312, 90309, 888148, 103172, 6, 1430038
xor_7_1.v, 1, 1, 1, 85, 1, 0.01, 500, 7, 1, 0, Valid, 29.365909814834595, 2.7011420726776123, 0.012112510053190018, 35.74992363536595, 1.0, 64, 64, 4488, 2724, 7, 896, 83, 83, 2774, 1945, 7, 516
xor_6_2.v, 1, 1, 1, 29, 1, 0.01, 500, 6, 2, 0, Valid, 6.002981185913086, 3.1208455562591553, 0.14681112946602806, 21.0163923433845, 2.0, 119, 86, 8885, 2548, 6, 868, 180, 179, 3815, 3891, 6, 1224
mirror_10_10.v, 1, 1, 1, 20, 1, 0.01, 1, 10, 10, 0, Valid, 16.5658860206604, 1.6639115810394287, 0.0, 36.59910342017584, 10.0, 10, 0, 20, 20, 10, 0, 10, 0, 20, 20, 10, 0
multiplexer_3_3.v, 1, 1, 1, 36, 1, 0.01, 5, 3, 3, 0, Valid, 3.2180240154266357, 1.7416760921478271, 0.4926335476089916, 1.4603853518779772, 3.0, 9, 9, 132, 107, 3, 23, 6, 6, 58, 52, 3, 8
xor_6_1.v, 1, 1, 1, 186, 1, 0.01, 50, 6, 1, 0, Valid, 41.03803038597107, 2.3459360599517822, 0.2404416003371576, 16.576942477069725, 1.0, 32, 32, 1239, 1188, 6, 384, 64, 64, 1366, 1455, 6, 392
mirror_5_5.v, 1, 1, 1, 19, 1, 0.01, 1, 5, 5, 0, Valid, 2.679149627685547, 1.6297407150268555, 0.9436206786542555, 14.723954405555002, 5.0, 5, 0, 10, 10, 5, 0, 5, 0, 10, 10, 5, 0
