Spec, Architecture, CNF, #Layers, Epochs, Batch Size, Learning Rate, K, No. of Inputs, No. of Outputs, No. of Counter Example Loops, Result, BNSynth Time, Manthan Time, Final Loss, Loss Drop, Accuracy, No. of Clauses pre simplification (BNSynth), No. of Clauses post simplification (BNSynth), No. of Chars pre simplification (BNSynth), No. of Chars post simplification (BNSynth), No. Input vars in SKF (BNSynth), No. of Literals pre simplification (BNSynth), No. of Literals post simplification (BNSynth), No. of Clauses pre simplification (Manthan), No. of Clauses post simplification (Manthan), No. of Chars pre simplification (Manthan), No. of Chars post simplification (Manthan), No. Input vars in SKF (Manthan), No. of Literals pre simplification (Manthan), No. of Literals post simplification (Manthan)
mirror_10_10.v, 1, 1, 1, 20, 1, 0.01, 1, 10, 10, 0, Valid, 21.13991665840149, 1.7126765251159668, 0.0, 37.19348082689035, 10.0, 10, 10, 20, 20, 10, 10, 10, 10, 10, 20, 20, 10, 10, 10
mirror_10_10.v, 1, 1, 1, 20, 1, 0.01, 1, 10, 10, 0, Valid, 20.80486798286438, 1.7126774787902832, 0.0, 35.80996693664483, 10.0, 10, 10, 20, 20, 10, 10, 10, 10, 10, 20, 20, 10, 10, 10
xor_2_4.v, 1, 1, 1, 22, 1, 0.01, 20, 2, 4, 5, Valid, 25.993950128555298, 1.8417017459869385, 0.3806873439225689, 1.0871693558137432, 4.0, 17, 5, 458, 49, 2, 23, 7, 15, 15, 143, 200, 2, 28, 28
misc4_2_3.v, 1, 1, 1, 44, 1, 0.01, 5, 2, 3, 0, Valid, 3.7170372009277344, 1.7894339561462402, 0.14511267762985833, 0.8566903575631288, 3.0, 6, 4, 126, 32, 2, 7, 4, 13, 13, 113, 169, 2, 24, 23
xnor-implies_7_1.v, 1, 1, 1, 120, 1, 0.01, 50, 7, 1, 0, Valid, 32.41352987289429, 2.481766939163208, 0.3986904715196659, 19.336412943197583, 1.0, 32, 32, 1391, 1284, 7, 224, 224, 88, 88, 2763, 2063, 7, 271, 271
xor_5_3.v, 1, 1, 1, 59, 1, 0.01, 20, 5, 3, 0, Valid, 7.895458936691284, 2.3179540634155273, 0.26845067308918297, 5.22156447001037, 3.0, 32, 23, 1028, 597, 5, 112, 88, 548, 546, 21519, 9215, 5, 2632, 2628
xor_6_10.v, 1, 1, 1, 165, 1, 0.01, 50, 6, 10, 0, Valid, 35.374510526657104, 3.794802188873291, 0.354798775912223, 10.355303764176075, 10.0, 163, 155, 9816, 4877, 6, 790, 756, 9826, 9825, 242777, 33641, 6, 62465, 62462
multiplexer_1_1.v, 1, 1, 1, 1, 1, 0.01, 1, 1, 1, 0, Valid, 0.4359471797943115, 1.6281437873840332, 0.04458225407286954, 0.0, 1.0, 1, 1, 2, 2, 1, 1, 1, 1, 1, 4, 4, 0, 1, 1
xor_1_3.v, 1, 1, 1, 71, 1, 0.01, 1, 1, 3, 0, Valid, 5.8009843826293945, 1.655712604522705, 0.5072596322604583, 0.4416591852759818, 3.0, 3, 3, 15, 15, 1, 3, 3, 3, 3, 15, 15, 1, 3, 3
xor_4_2.v, 1, 1, 1, 45, 1, 0.01, 20, 4, 2, 3, Valid, 27.865686655044556, 2.127870559692383, 0.5584426484064617, 3.8102373376279064, 2.0, 22, 9, 615, 217, 4, 62, 33, 57, 57, 1170, 1453, 4, 213, 213
xnor_7_1.v, 1, 1, 1, 74, 1, 0.01, 500, 7, 1, 0, Valid, 22.984983921051025, 2.577212333679199, 0.024920661227010223, 35.670195869419636, 1.0, 64, 64, 4285, 2724, 7, 448, 448, 88, 88, 2763, 2063, 7, 271, 271
misc2_3_1.v, 1, 1, 1, 14, 1, 0.01, 1, 3, 1, 0, Valid, 1.414809226989746, 1.6814942359924316, 0.8128632199223591, 1.3964633571396523, 1.0, 1, 1, 7, 7, 1, 1, 1, 2, 2, 30, 34, 3, 4, 4
misc1_2_1.v, 1, 1, 1, 25, 1, 0.01, 1, 2, 1, 0, Valid, 2.014523983001709, 1.6919426918029785, 0.2760003429434583, 0.5807733207062978, 1.0, 1, 1, 2, 2, 1, 1, 1, 2, 2, 10, 10, 2, 2, 2
xor_2_2.v, 1, 1, 1, 37, 1, 0.01, 5, 2, 2, 3, Valid, 19.010019302368164, 1.7557225227355957, 0.4828020461307009, 0.7622436816009658, 2.0, 5, 3, 69, 39, 2, 8, 5, 4, 4, 49, 28, 2, 4, 4
xor_3_1.v, 1, 1, 1, 59, 1, 0.01, 5, 3, 1, 0, Valid, 5.643301010131836, 1.970343828201294, 0.7633822040672762, 2.1880608081768838, 1.0, 4, 4, 86, 86, 3, 12, 12, 4, 4, 140, 86, 3, 12, 12
xor_5_1.v, 1, 1, 1, 83, 1, 0.01, 20, 5, 1, 0, Valid, 11.696293830871582, 2.2200357913970947, 0.7964742350082719, 9.091942304159392, 1.0, 16, 16, 532, 508, 5, 80, 80, 50, 49, 475, 1037, 5, 147, 145
xor_3_2.v, 1, 1, 1, 25, 1, 0.01, 20, 3, 2, 0, Valid, 2.741091012954712, 1.8999097347259521, 0.3999018302947728, 2.05177271924767, 2.0, 10, 5, 339, 91, 3, 21, 13, 8, 7, 114, 115, 3, 18, 16
